"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"34","0.007970","0.017600","0.001047","0.005086","0.001762","0.000059","0.005620","0.006384","0.001949","0.001535","0.000460","0.003910",
"35","0.007603","0.016931","0.000727","0.005124","0.001845","0.000028","0.004543","0.005467","0.000312","0.001692","0.000350","0.002838",
"36","0.007415","0.017084","0.000740","0.004636","0.001810","0.000271","0.004980","0.005746","0.000515","0.001763","0.000693","0.003070",
"37","0.006391","0.016154","0.001028","0.005275","0.002420","0.000734","0.004769","0.004153","0.001028","0.001483","0.000577","0.003144",
"38","0.006294","0.017410","0.000396","0.005064","0.002729","0.000460","0.004802","0.004509","0.000409","0.001501","0.000057","0.002843",
"39","0.005072","0.017280","0.000677","0.004129","0.002205","0.000321","0.005158","0.004360","0.001645","0.001431","0.000196","0.001650",
"40","0.003950","0.016288","0.000337","0.004655","0.002293","0.000254","0.005266","0.003375","0.000754","0.001341","0.000106","0.002124",
"41","0.003504","0.015410","0.000016","0.004146","0.001555","0.000505","0.005045","0.002633","0.000308","0.001125","0.000499","0.002632",
"42","0.004138","0.015659","0.000762","0.003244","0.000754","0.000831","0.004907","0.001995","0.001260","0.001103","0.000956","0.003520",
"43","0.004476","0.014298","0.000429","0.003644","0.001662","0.000880","0.005612","0.002896","0.000014","0.000786","0.000527","0.004448",
"44","0.003649","0.014420","0.000686","0.003870","0.000802","0.001185","0.007353","0.003568","0.000976","0.001121","0.000534","0.003947",
"45","0.005440","0.013661","0.000550","0.003626","0.000823","0.000909","0.009052","0.004761","0.001132","0.001477","0.000109","0.004071",
"46","0.005143","0.013472","0.000123","0.003502","0.000719","0.000498","0.008960","0.004298","0.000078","0.000996","0.000048","0.003601",
"47","0.004590","0.013982","0.000659","0.003322","0.001019","0.000970","0.008707","0.003471","0.001440","0.001285","0.000360","0.004286",
"48","0.004707","0.013550","0.000422","0.003093","0.000545","0.001051","0.008077","0.004157","0.000407","0.000809","0.000349","0.003461",
"49","0.005693","0.013056","0.000346","0.002292","0.000402","0.000801","0.007383","0.003496","0.000134","0.000406","0.000446","0.004133",
"50","0.006038","0.012047","0.000792","0.003286","0.000153","0.001048","0.006523","0.001922","0.000661","0.000556","0.000147","0.004034",
"51","0.005105","0.012459","0.000401","0.003285","0.000117","0.000542","0.006272","0.002259","0.000512","0.000613","0.000141","0.003672",
"52","0.005885","0.011206","0.000650","0.004225","0.000567","0.000200","0.005861","0.002858","0.000802","0.001092","0.000025","0.003576",
"53","0.005440","0.012276","0.000366","0.003572","0.000507","0.000135","0.005267","0.002517","0.000441","0.001255","0.000063","0.002944",
"54","0.005008","0.011639","0.000011","0.003661","0.000393","0.000136","0.005578","0.002598","0.000066","0.000798","0.000234","0.003103",
"55","0.005023","0.010131","0.000630","0.003801","0.000260","0.000123","0.005353","0.003236","0.000910","0.000858","0.000553","0.002906",
"56","0.006198","0.010206","0.000442","0.004250","0.000606","0.000123","0.004696","0.003171","0.000206","0.000833","0.000271","0.002171",
"57","0.006876","0.009504","0.000544","0.004337","0.000142","0.000051","0.003786","0.003820","0.000212","0.000682","0.000102","0.002355",
"58","0.007151","0.010220","0.000603","0.004334","0.000272","0.000263","0.004528","0.003329","0.000595","0.000557","0.000113","0.002078",
"59","0.007653","0.009385","0.000215","0.004262","0.000566","0.000071","0.004349","0.004175","0.000267","0.000105","0.000017","0.001766",
"60","0.008615","0.008655","0.000471","0.003455","0.001166","0.000122","0.005386","0.003852","0.001092","0.000118","0.000317","0.001724",
"61","0.009536","0.008006","0.000254","0.003447","0.000926","0.000147","0.005346","0.003054","0.000476","0.000514","0.000287","0.002135",
"62","0.009751","0.007172","0.000095","0.003602","0.000811","0.000120","0.005787","0.003683","0.000226","0.000295","0.000131","0.002381",
"63","0.009859","0.006446","0.000557","0.004509","0.000190","0.000172","0.005539","0.003756","0.000704","0.000474","0.000356","0.002776",
"64","0.009659","0.005474","0.000321","0.004909","0.000054","0.000040","0.004826","0.002789","0.000164","0.000607","0.000035","0.002124",
"65","0.008426","0.005536","0.000522","0.004384","0.000442","0.000375","0.005493","0.003559","0.000730","0.000937","0.000266","0.001697",
"66","0.008253","0.004811","0.000372","0.004498","0.000554","0.000717","0.005081","0.003417","0.000699","0.000975","0.000306","0.001833",
"67","0.007174","0.004269","0.000097","0.004278","0.001191","0.000179","0.005059","0.003940","0.000063","0.000702","0.000039","0.001760",
"68","0.007741","0.005073","0.000540","0.004334","0.001417","0.000639","0.005356","0.003304","0.000935","0.000559","0.000283","0.002162",
"69","0.007790","0.004839","0.000376","0.004914","0.001029","0.000818","0.005348","0.003961","0.000191","0.000938","0.000077","0.002437",
"70","0.008044","0.004922","0.000354","0.004453","0.001170","0.001105","0.004601","0.003391","0.000159","0.001017","0.000303","0.001931",
"71","0.008287","0.004614","0.000571","0.004501","0.001583","0.001247","0.004266","0.003756","0.000444","0.000881","0.000328","0.002215",
"72","0.006968","0.004629","0.000240","0.004531","0.001002","0.001167","0.003959","0.004256","0.000341","0.001051","0.000175","0.002179",
"73","0.007497","0.004535","0.000397","0.004331","0.000612","0.000763","0.003673","0.004499","0.000728","0.001349","0.000220","0.002726",
"74","0.006782","0.005414","0.000202","0.004349","0.001499","0.000868","0.003051","0.004017","0.000295","0.001286","0.000025","0.002378",
"75","0.006798","0.005052","0.000019","0.004453","0.001152","0.000653","0.003148","0.003834","0.000013","0.000842","0.000091","0.002910",
"76","0.006186","0.005752","0.000428","0.004166","0.001257","0.000782","0.002305","0.004054","0.000592","0.000660","0.000333","0.001996",
"77","0.005965","0.006290","0.000258","0.003937","0.001069","0.000600","0.002016","0.004709","0.000157","0.000683","0.000236","0.002040",
"78","0.005391","0.005731","0.000383","0.003717","0.000881","0.001090","0.001524","0.004448","0.000286","0.000937","0.000337","0.002522",
"79","0.005114","0.006042","0.000351","0.003629","0.000992","0.001232","0.001792","0.004738","0.000457","0.001247","0.000081","0.001905",
"80","0.005243","0.005599","0.000090","0.003687","0.000957","0.001068","0.002103","0.005239","0.000203","0.001070","0.000033","0.002238",
"81","0.005299","0.005795","0.000352","0.003231","0.001135","0.001237","0.001737","0.004979","0.000711","0.001150","0.000114","0.002435",
"82","0.005299","0.005713","0.000207","0.002924","0.001493","0.001445","0.001935","0.004535","0.000152","0.001277","0.000210","0.002400",
"83","0.005233","0.005448","0.000131","0.003156","0.000580","0.001195","0.001587","0.004678","0.000024","0.001396","0.000371","0.002349",
"84","0.005232","0.005085","0.000435","0.002828","0.000715","0.001452","0.001204","0.004662","0.000371","0.001419","0.000425","0.002539",
"85","0.005284","0.005170","0.000228","0.003365","0.001303","0.000965","0.000724","0.004452","0.000323","0.001364","0.000086","0.002977",
"86","0.004493","0.005506","0.000380","0.003099","0.001336","0.000921","0.001090","0.004260","0.000453","0.001159","0.000015","0.003276",
"87","0.004463","0.006017","0.000222","0.003101","0.001607","0.000917","0.001056","0.004868","0.000349","0.001087","0.000068","0.002985",
"88","0.004217","0.005901","0.000010","0.002848","0.001366","0.000659","0.000877","0.005071","0.000013","0.001294","0.000091","0.002796",
"89","0.004348","0.006064","0.000384","0.002768","0.001045","0.000666","0.001413","0.004653","0.000655","0.001295","0.000359","0.002453",
"90","0.004886","0.006378","0.000269","0.002446","0.000940","0.000495","0.001323","0.004909","0.000010","0.001234","0.000253","0.002328",
"91","0.005293","0.006783","0.000301","0.002490","0.001263","0.000483","0.001041","0.004743","0.000156","0.001433","0.000118","0.002244",
"92","0.005981","0.006507","0.000392","0.002349","0.001546","0.000829","0.000987","0.004854","0.000395","0.001549","0.000074","0.001987",
"93","0.005677","0.006849","0.000143","0.002206","0.002155","0.000615","0.000752","0.005062","0.000176","0.001685","0.000022","0.001789",
"94","0.005785","0.006319","0.000278","0.002043","0.002476","0.000650","0.000460","0.005087","0.000702","0.001693","0.000149","0.001868",
"95","0.005408","0.006358","0.000135","0.002086","0.002026","0.000678","0.000981","0.004839","0.000299","0.001551","0.000216","0.001417",
"96","0.005739","0.006287","0.000010","0.001630","0.002281","0.000785","0.001362","0.004868","0.000143","0.001590","0.000212","0.001142",
"97","0.005739","0.006056","0.000332","0.001737","0.001375","0.000902","0.000772","0.004849","0.000524","0.001416","0.000309","0.001384",
"98","0.005481","0.006517","0.000188","0.000934","0.001470","0.000759","0.000679","0.004812","0.000026","0.001416","0.000010","0.001108",
"99","0.005262","0.006052","0.000315","0.000941","0.001004","0.000939","0.000734","0.004803","0.000473","0.001203","0.000187","0.000855",
"100","0.005941","0.006073","0.000243","0.000909","0.000580","0.000809","0.000572","0.004647","0.000541","0.001110","0.000233","0.000979",
"101","0.005372","0.006217","0.000053","0.000663","0.000315","0.000628","0.000910","0.004482","0.000083","0.000984","0.000161","0.000688",
"102","0.005540","0.005840","0.000325","0.000437","0.000170","0.000871","0.000881","0.004028","0.000677","0.000960","0.000280","0.000418",
"103","0.005690","0.006088","0.000217","0.000830","0.000250","0.001017","0.001441","0.003590","0.000201","0.000995","0.000046","0.000426",
"104","0.004825","0.005975","0.000193","0.000912","0.000438","0.000884","0.000814","0.003656","0.000096","0.001086","0.000131","0.000121",
"105","0.004744","0.006258","0.000386","0.001267","0.000451","0.000997","0.001126","0.004219","0.000316","0.000891","0.000115","0.000492",
"106","0.004579","0.006356","0.000187","0.001643","0.000291","0.000763","0.000899","0.004158","0.000247","0.000789","0.000015","0.000783",
"107","0.004680","0.006746","0.000307","0.001684","0.000128","0.000432","0.000486","0.004000","0.000421","0.000844","0.000110","0.000805",
"108","0.004416","0.006352","0.000172","0.001874","0.000056","0.000577","0.000772","0.003817","0.000216","0.000927","0.000039","0.000789",
"109","0.004468","0.005485","0.000010","0.002386","0.000245","0.000457","0.000842","0.003758","0.000038","0.000869","0.000017","0.000870",
"110","0.004999","0.005667","0.000313","0.002432","0.000202","0.000466","0.001157","0.003743","0.000436","0.000884","0.000141","0.001077",
"111","0.004859","0.005380","0.000214","0.002310","0.000075","0.000110","0.000941","0.003279","0.000110","0.001045","0.000131","0.000755",
"112","0.004999","0.005983","0.000282","0.002474","0.000338","0.000329","0.001238","0.003095","0.000120","0.000974","0.000226","0.000783",
"113","0.005102","0.005466","0.000293","0.002241","0.000192","0.000393","0.001540","0.002770","0.000307","0.000786","0.000171","0.000761",
"114","0.005103","0.005350","0.000097","0.002119","0.000046","0.000260","0.001716","0.002911","0.000150","0.000499","0.000010","0.000609",
"115","0.005745","0.004884","0.000251","0.002154","0.000344","0.000296","0.001452","0.003170","0.000547","0.000636","0.000010","0.000708",
"116","0.006043","0.004875","0.000144","0.002054","0.000576","0.000383","0.001675","0.003301","0.000220","0.000744","0.000049","0.000753",
"117","0.005787","0.004447","0.000070","0.002352","0.000794","0.000108","0.002008","0.003611","0.000089","0.000529","0.000133","0.000907",
"118","0.005350","0.004328","0.000304","0.002669","0.001420","0.000387","0.001622","0.003912","0.000354","0.000430","0.000244","0.000784",
"119","0.005280","0.004205","0.000175","0.002443","0.001346","0.000271","0.001905","0.004148","0.000116","0.000376","0.000032","0.000885",
"120","0.005774","0.004544","0.000286","0.002506","0.001259","0.000410","0.001585","0.004188","0.000413","0.000344","0.000052","0.001061",
"121","0.005689","0.004350","0.000192","0.002690","0.001190","0.000413","0.001790","0.004028","0.000357","0.000220","0.000031","0.001294",
"122","0.006416","0.003755","0.000042","0.002677","0.001250","0.000159","0.001737","0.003829","0.000064","0.000208","0.000085","0.001354",
"123","0.006531","0.003456","0.000300","0.002551","0.001295","0.000324","0.001626","0.004070","0.000546","0.000284","0.000133","0.001395",
"124","0.006275","0.002995","0.000212","0.002596","0.001263","0.000378","0.002025","0.004135","0.000114","0.000175","0.000136","0.001171",
"125","0.006238","0.002547","0.000211","0.002766","0.001202","0.000436","0.002049","0.003927","0.000135","0.000163","0.000154","0.001121",
"126","0.005576","0.002330","0.000314","0.002605","0.001374","0.000533","0.001822","0.004406","0.000289","0.000243","0.000081","0.001192",
"127","0.004814","0.002029","0.000126","0.002893","0.001546","0.000448","0.001470","0.004423","0.000151","0.000315","0.000100","0.001215",
"128","0.005067","0.002830","0.000214","0.003030","0.001086","0.000341","0.001474","0.004288","0.000471","0.000267","0.000052","0.001264",
"129","0.005418","0.002542","0.000109","0.003066","0.001220","0.000400","0.001510","0.004223","0.000206","0.000125","0.000110","0.001156",
"130","0.005351","0.002641","0.000010","0.003195","0.001498","0.000442","0.001520","0.004304","0.000057","0.000010","0.000198","0.000923",
"131","0.005386","0.002765","0.000248","0.003336","0.001672","0.000464","0.001137","0.004438","0.000381","0.000059","0.000278","0.000873",
"132","0.004788","0.002784","0.000143","0.003059","0.001627","0.000415","0.000539","0.004464","0.000046","0.000017","0.000026","0.000675",
"133","0.004446","0.003222","0.000226","0.003130","0.001774","0.000608","0.000536","0.004644","0.000265","0.000060","0.000114","0.000852",
"134","0.004438","0.003192","0.000192","0.002954","0.001386","0.000576","0.000116","0.004108","0.000347","0.000103","0.000099","0.000844",
"135","0.004108","0.003289","0.000044","0.002794","0.001313","0.000505","0.000515","0.004255","0.000027","0.000037","0.000063","0.000762",
"136","0.003830","0.002869","0.000220","0.002792","0.000953","0.000697","0.000716","0.004196","0.000479","0.000064","0.000210","0.000858",
"137","0.003865","0.003006","0.000138","0.002693","0.001050","0.000672","0.000580","0.004347","0.000129","0.000053","0.000094","0.000982",
"138","0.004342","0.002800","0.000105","0.002953","0.001193","0.000550","0.000336","0.003861","0.000031","0.000118","0.000140","0.001052",
"139","0.003881","0.002661","0.000278","0.003077","0.001207","0.000638","0.000710","0.004068","0.000244","0.000163","0.000127","0.001113",
"140","0.004032","0.002599","0.000143","0.002894","0.001330","0.000315","0.000776","0.003590","0.000189","0.000123","0.000063","0.000775",
"141","0.004161","0.002918","0.000238","0.002894","0.001307","0.000251","0.000630","0.003540","0.000294","0.000120","0.000163","0.000755",
"142","0.003679","0.002932","0.000136","0.003008","0.001302","0.000224","0.000474","0.003218","0.000191","0.000151","0.000150","0.000680",
"143","0.003907","0.003128","0.000010","0.003153","0.000966","0.000010","0.000770","0.003175","0.000010","0.000199","0.000113","0.000474",
"144","0.003473","0.003055","0.000238","0.002996","0.000886","0.000099","0.000607","0.003075","0.000375","0.000270","0.000126","0.000443",
"145","0.003523","0.002718","0.000168","0.003213","0.000979","0.000019","0.000667","0.003104","0.000045","0.000349","0.000094","0.000575",
"146","0.003158","0.002591","0.000203","0.003345","0.001202","0.000031","0.000587","0.003122","0.000098","0.000226","0.000136","0.000011",
"147","0.003358","0.002111","0.000241","0.003451","0.001141","0.000098","0.000535","0.003413","0.000247","0.000285","0.000120","0.000141",
"148","0.003792","0.002202","0.000086","0.003285","0.001125","0.000029","0.000845","0.003217","0.000096","0.000296","0.000055","0.000333",
"149","0.004050","0.001934","0.000184","0.003167","0.001151","0.000074","0.000779","0.003228","0.000464","0.000371","0.000020","0.000433",
"150","0.004087","0.001690","0.000094","0.002686","0.001108","0.000075","0.000457","0.003338","0.000218","0.000410","0.000063","0.000508",
"151","0.003980","0.002287","0.000022","0.002560","0.001200","0.000055","0.000385","0.003169","0.000118","0.000363","0.000095","0.000755",
"152","0.003887","0.001808","0.000223","0.002592","0.001314","0.000098","0.000413","0.003170","0.000327","0.000214","0.000223","0.000794",
"153","0.003881","0.001938","0.000128","0.002562","0.001153","0.000039","0.000112","0.003123","0.000035","0.000353","0.000125","0.000500",
"154","0.004295","0.001993","0.000213","0.002502","0.001278","0.000156","0.000274","0.003035","0.000318","0.000272","0.000168","0.000403",
"155","0.004476","0.002654","0.000159","0.002352","0.001277","0.000186","0.000338","0.002837","0.000325","0.000182","0.000122","0.000502",
"156","0.004349","0.002550","0.000040","0.002173","0.001445","0.000016","0.000562","0.002668","0.000037","0.000390","0.000027","0.000376",
"157","0.004239","0.002804","0.000228","0.001946","0.001387","0.000247","0.000618","0.002625","0.000405","0.000445","0.000133","0.000298",
"158","0.004272","0.002782","0.000158","0.002126","0.001392","0.000337","0.000604","0.002455","0.000095","0.000401","0.000108","0.000302",
"159","0.003774","0.003354","0.000146","0.002032","0.001413","0.000400","0.000518","0.002453","0.000059","0.000411","0.000169","0.000384",
"160","0.003911","0.003369","0.000255","0.002347","0.001435","0.000443","0.000642","0.002755","0.000191","0.000357","0.000116","0.000387",
"161","0.004010","0.003526","0.000113","0.002536","0.001608","0.000358","0.000783","0.002794","0.000170","0.000334","0.000084","0.000329",
"162","0.003781","0.003427","0.000188","0.002753","0.001860","0.000173","0.001065","0.002763","0.000304","0.000368","0.000010","0.000372",
"163","0.003751","0.003651","0.000099","0.002716","0.001964","0.000193","0.000892","0.002720","0.000136","0.000285","0.000010","0.000235",
"164","0.004353","0.003920","0.000010","0.002729","0.002182","0.000078","0.000739","0.002795","0.000016","0.000287","0.000065","0.000306",
"165","0.004105","0.004154","0.000201","0.002634","0.002063","0.000132","0.000492","0.002809","0.000286","0.000427","0.000200","0.000297",
"166","0.003934","0.004236","0.000127","0.002548","0.001850","0.000081","0.000603","0.002646","0.000067","0.000277","0.000078","0.000345",
"167","0.003918","0.003885","0.000183","0.002479","0.001564","0.000081","0.000580","0.002688","0.000121","0.000098","0.000104","0.000155",
"168","0.003998","0.003613","0.000177","0.002572","0.001564","0.000108","0.000615","0.002377","0.000221","0.000017","0.000027","0.000189",
"169","0.003702","0.003587","0.000051","0.002669","0.001722","0.000042","0.000599","0.002384","0.000094","0.000145","0.000021","0.000233",
"170","0.003445","0.003381","0.000168","0.002632","0.001513","0.000130","0.000591","0.002243","0.000351","0.000345","0.000150","0.000063",
"171","0.003315","0.003033","0.000098","0.002614","0.001756","0.000192","0.000462","0.002427","0.000100","0.000448","0.000163","0.000020",
"172","0.003559","0.002656","0.000057","0.002370","0.001577","0.000091","0.000217","0.002423","0.000010","0.000419","0.000180","0.000087",
"173","0.003334","0.002296","0.000209","0.002504","0.001275","0.000214","0.000312","0.002151","0.000201","0.000336","0.000116","0.000366",
"174","0.003515","0.002441","0.000114","0.002445","0.001160","0.000010","0.000348","0.002078","0.000123","0.000297","0.000010","0.000515",
"175","0.003548","0.002335","0.000191","0.002610","0.001268","0.000053","0.000824","0.002014","0.000252","0.000204","0.000066","0.000305",
"176","0.003191","0.002329","0.000119","0.002695","0.001460","0.000177","0.001023","0.001783","0.000213","0.000163","0.000086","0.000076",
"177","0.003592","0.002655","0.000013","0.002899","0.001615","0.000017","0.001096","0.001568","0.000036","0.000195","0.000075","0.000172",
"178","0.003778","0.002798","0.000200","0.003044","0.001811","0.000129","0.000887","0.001555","0.000363","0.000157","0.000102","0.000319",
"179","0.003930","0.002955","0.000141","0.003040","0.001971","0.000142","0.000827","0.001539","0.000037","0.000168","0.000088","0.000471",
"180","0.003779","0.003275","0.000151","0.003063","0.001934","0.000184","0.000603","0.001455","0.000096","0.000291","0.000097","0.000667",
"181","0.003825","0.003210","0.000209","0.003047","0.001978","0.000321","0.000653","0.001634","0.000212","0.000375","0.000117","0.000539",
"182","0.003706","0.003161","0.000080","0.003059","0.001738","0.000239","0.000722","0.001528","0.000084","0.000384","0.000096","0.000651",
"183","0.003472","0.003143","0.000146","0.002765","0.001754","0.000208","0.000410","0.001772","0.000363","0.000297","0.000146","0.000454",
"184","0.003398","0.002801","0.000073","0.002746","0.001746","0.000261","0.000417","0.001886","0.000164","0.000226","0.000115","0.000560",
"185","0.003709","0.002801","0.000010","0.002615","0.001827","0.000284","0.000264","0.002184","0.000075","0.000201","0.000063","0.000968",
"186","0.003434","0.002935","0.000174","0.002501","0.001517","0.000355","0.000051","0.002038","0.000295","0.000146","0.000166","0.001193",
"187","0.003653","0.002969","0.000099","0.002439","0.001468","0.000285","0.000212","0.002172","0.000010","0.000125","0.000071","0.001125",
"188","0.003689","0.003175","0.000164","0.002532","0.001354","0.000381","0.000184","0.001950","0.000248","0.000098","0.000138","0.001189",
"189","0.003725","0.003186","0.000131","0.002424","0.001302","0.000377","0.000252","0.001918","0.000284","0.000060","0.000109","0.001235",
"190","0.003800","0.003308","0.000029","0.002452","0.000913","0.000299","0.000136","0.001854","0.000036","0.000093","0.000041","0.001448",
"191","0.003857","0.003050","0.000168","0.002281","0.001016","0.000393","0.000039","0.001966","0.000371","0.000251","0.000069","0.001454",
"192","0.004049","0.002822","0.000110","0.002155","0.001172","0.000467","0.000052","0.002146","0.000115","0.000306","0.000035","0.001428",
"193","0.004544","0.002987","0.000095","0.002041","0.001484","0.000399","0.000128","0.002147","0.000050","0.000287","0.000103","0.001451",
"194","0.004912","0.003164","0.000209","0.002312","0.001514","0.000441","0.000116","0.002093","0.000181","0.000309","0.000134","0.001264",
"195","0.005213","0.003201","0.000106","0.002317","0.001207","0.000304","0.000143","0.002015","0.000128","0.000235","0.000017","0.001335",
"196","0.005090","0.003151","0.000174","0.002083","0.000855","0.000177","0.000260","0.001990","0.000229","0.000237","0.000043","0.001460",
"197","0.004926","0.003167","0.000099","0.001958","0.000809","0.000227","0.000034","0.001897","0.000124","0.000275","0.000027","0.001539",
"198","0.004707","0.003215","0.000010","0.001833","0.000612","0.000132","0.000336","0.001951","0.000018","0.000328","0.000040","0.001581",
"199","0.004602","0.002910","0.000177","0.001577","0.000606","0.000155","0.000298","0.001965","0.000254","0.000314","0.000170","0.001577",
"200","0.004789","0.002766","0.000125","0.001391","0.000668","0.000075","0.000141","0.001932","0.000058","0.000209","0.000137","0.001539",
"201","0.004884","0.003052","0.000159","0.001426","0.000555","0.000140","0.000325","0.001665","0.000064","0.000263","0.000133","0.001555",
"202","0.004949","0.003039","0.000173","0.001545","0.000494","0.000197","0.000485","0.001731","0.000174","0.000259","0.000010","0.001387",
"203","0.005081","0.003196","0.000062","0.001636","0.000591","0.000063","0.000492","0.001519","0.000079","0.000255","0.000023","0.001470",
"204","0.005393","0.003067","0.000142","0.001527","0.000741","0.000131","0.000833","0.001644","0.000326","0.000161","0.000049","0.001451",
"205","0.005511","0.003019","0.000080","0.001744","0.000917","0.000156","0.000803","0.001640","0.000144","0.000106","0.000091","0.001443",
"206","0.005657","0.003035","0.000035","0.001782","0.000938","0.000075","0.000880","0.001651","0.000069","0.000024","0.000137","0.001392",
"207","0.005663","0.002809","0.000174","0.001681","0.000916","0.000159","0.000846","0.001837","0.000222","0.000100","0.000120","0.001690",
"208","0.005720","0.002775","0.000102","0.001591","0.000963","0.000101","0.000644","0.001883","0.000041","0.000165","0.000014","0.001553",
"209","0.005731","0.002788","0.000166","0.001743","0.001078","0.000219","0.000618","0.001886","0.000252","0.000247","0.000022","0.001740",
"210","0.005522","0.002171","0.000117","0.001809","0.001038","0.000260","0.000854","0.001707","0.000237","0.000278","0.000073","0.001622",
"211","0.005681","0.001902","0.000030","0.001891","0.001099","0.000101","0.000687","0.001696","0.000043","0.000262","0.000068","0.001692",
"212","0.006084","0.002186","0.000177","0.001773","0.001134","0.000229","0.000741","0.001678","0.000330","0.000215","0.000157","0.001790",
"213","0.005935","0.002071","0.000125","0.001904","0.001297","0.000240","0.000795","0.001960","0.000084","0.000221","0.000090","0.001956",
"214","0.005837","0.002222","0.000121","0.001754","0.001145","0.000274","0.000827","0.002052","0.000083","0.000222","0.000035","0.001764",
"215","0.005914","0.002145","0.000190","0.001497","0.001082","0.000319","0.000790","0.002066","0.000178","0.000160","0.000035","0.001807",
